iter	Passed	Remaining
254	2765	8079
255	2771	8055
256	2778	8034
257	2786	8012
258	2793	7991
259	2798	7965
260	2805	7942
261	2812	7922
262	2819	7899
263	2826	7880
264	2833	7860
265	2840	7836
266	2846	7813
267	2852	7790
268	2861	7775
269	2867	7752
270	2874	7732
271	2880	7709
272	2887	7690
273	2894	7669
274	2901	7649
275	2907	7627
276	2917	7615
277	2925	7596
278	2931	7576
279	2939	7557
280	2944	7535
281	2951	7514
282	2957	7492
283	2964	7474
284	2972	7456
285	2978	7435
286	2985	7417
287	2992	7397
288	2998	7376
289	3004	7356
290	3009	7333
291	3018	7318
292	3024	7298
293	3030	7278
294	3036	7256
295	3048	7250
296	3054	7231
297	3062	7215
298	3069	7195
299	3079	7186
300	3086	7167
301	3097	7158
302	3103	7140
303	3112	7124
304	3118	7105
305	3128	7096
306	3135	7078
307	3145	7067
308	3161	7069
309	3168	7052
310	3182	7050
311	3194	7045
312	3209	7044
313	3215	7025
314	3225	7014
315	3231	6995
316	3243	6987
317	3251	6972
318	3259	6958
319	3265	6939
320	3273	6924
321	3281	6908
322	3290	6897
323	3303	6892
324	3311	6877
325	3324	6873
326	3333	6859
327	3340	6843
328	3347	6826
329	3353	6807
330	3361	6793
331	3369	6780
332	3377	6764
333	3386	6751
334	3392	6733
335	3399	6717
336	3405	6699
337	3408	6675
338	3415	6658
339	3419	6638
340	3432	6632
341	3437	6613
342	3443	6596
343	3449	6577
344	3454	6558
345	3461	6542
346	3467	6524
347	3472	6506
348	3480	6491
349	3486	6475
350	3496	6464
351	3502	6448
352	3510	6434
353	3519	6421
354	3529	6412
355	3536	6397
356	3547	6388
357	3556	6377
358	3562	6360
359	3570	6347
360	3577	6333
361	3585	6319
362	3593	6305
363	3603	6296
364	3611	6282
365	3616	6264
366	3626	6255
367	3635	6243
368	3642	6228
369	3651	6216
370	3658	6202
371	3667	6191
372	3675	6178
373	3685	6169
374	3693	6156
375	3702	6144
376	3708	6128
377	3718	6118
378	3725	6104
379	3729	6084
380	3735	6069
381	3742	6055
382	3753	6047
383	3763	6036
384	3770	6023
385	3781	6015
386	3790	6004
387	3799	5993
388	3805	5977
389	3818	5973
390	3828	5963
391	3837	5951
392	3846	5941
393	3865	5946
394	3879	5941
395	3896	5942
396	3912	5943
397	3921	5932
398	3930	5920
399	3937	5905
400	3943	5890
401	3950	5876
402	3959	5866
403	3965	5850
404	3972	5835
405	3977	5819
406	3983	5804
